group,value
A,69.1386057273116
A,43.09171718846561
A,75.13180472036913
A,81.92365093130925
A,39.73737140689406
A,39.73794572562967
A,82.35957919140364
A,76.06092539245759
A,31.505484164355103
A,71.1441761864603
A,31.717356510943663
A,31.636477105581307
A,57.99425142567142
A,12.839110452748846
A,14.660216864873934
A,28.25873910582012
A,21.544741557310424
A,61.15642760374539
A,22.558026422225694
A,17.6826011735393
A,81.47842629324667
A,40.03041421758344
A,50.36347346031286
A,17.562286664135996
A,28.88507643439602
A,52.26180056448517
A,20.208973270778177
A,63.84464411542013
A,26.91715711662618
A,37.72452148316498
A,26.879799568316653
A,84.47831613778523
A,47.45625947685545
A,21.110839133122404
A,76.48852989304129
A,19.53365586770674
A,56.54631951474015
A,12.390608516789753
A,18.4958589487049
A,56.02126532513338
A,75.83615910989052
A,54.906052681645
A,43.882859957816194
A,37.39534725281325
A,17.042396212351527
A,24.377367971077508
A,31.814567428189275
A,78.30863481523352
A,62.4412870082395
A,14.291646480813778
A,61.58674028684916
A,34.45764850026786
A,24.792344119890657
A,74.16772961715553
A,78.10594658083895
A,77.3322154226758
A,23.2232549684117
A,37.1116932719881
A,61.90081242585355
A,77.67567130738742
A,31.166168576749445
A,41.43377928252473
A,20.64073706118571
A,19.771849068323267
A,76.41079094132738
A,80.62951476233462
A,45.40938926088566
A,77.89283075237076
A,63.22948934360215
A,25.361141752589756
A,63.21897197073366
A,82.04008924481514
A,46.67516355506061
A,82.24653586762743
A,6.008938388145032
A,76.48354539796284
A,51.21734401755984
A,37.46868059686356
A,51.42354950284234
A,12.120880251504452
A,40.24395586586194
A,63.031606727054
A,81.57343840845283
A,29.798531658712687
A,23.52029686589272
A,30.376187650233426
A,77.20901668695251
A,61.790908610915366
A,29.396594472938187
A,69.86274412136714
A,51.65613659750134
A,77.62213257275899
A,24.549374224116512
A,36.46629220195893
A,34.21187277595217
A,17.187485779482092
A,60.36344296263663
A,58.82949221885084
A,48.1072894458388
A,39.722197868867
A,17.652948720860653
A,33.21359913505543
A,35.939737384985555
A,23.58039699404622
A,42.28639319983469
A,65.08496499376541
A,84.74140893642824
A,55.046456581927885
A,58.67616797048074
A,45.32418147182946
A,12.786023206043415
A,47.00091721744948
A,50.04421599815186
A,89.21883615261942
A,41.199333534572034
A,60.60085490178763
A,46.71414239528461
A,20.037998162244357
A,78.97359281929505
A,75.94064643817465
A,76.24401817188422
A,22.544845136697926
A,80.99073331751154
A,17.783658315766132
A,73.08199120594215
A,87.10226307744
A,21.760289840220153
A,28.118456191734584
A,51.76873052358553
A,30.316068037294293
A,16.344925635602998
A,50.40874042655262
A,21.066435636165153
A,68.12712481199478
A,22.4478085613778
A,82.13240556531184
A,23.764322682274624
A,36.66221077989409
A,76.41848325753236
A,19.436775074231928
A,57.35983341710411
A,80.2485649209768
A,15.79558616122273
A,55.48636750829165
A,58.77820109823189
A,76.17256418971553
A,19.37793121136823
A,18.570587897877875
A,70.24220198966805
A,60.40125676446342
A,58.36742940489302
A,62.5650844465537
A,24.762346704057492
A,57.56954094926707
A,60.23011399636436
A,24.430472811084318
A,84.5830352604931
A,68.13764527933496
A,19.81925298344284
A,75.20058954115953
A,21.913574210375497
A,76.21339040637298
A,79.09597501297557
A,23.402455160510307
A,77.58125103908715
A,65.46686990439986
A,76.48476866104657
A,84.82371016499349
A,39.34436305232321
A,24.049697192069612
A,22.73697950762628
A,23.44955846067939
A,45.23127776664519
A,62.33339581129251
A,59.513482669737634
A,76.5245191357098
A,48.38323892032015
A,81.38442739060747
A,38.670313987299636
A,91.21235456927647
A,74.77978129984061
A,23.049808954896154
A,20.983398420582986
A,68.51558786908113
A,40.11134450017319
A,75.6463247111667
A,68.11160349597222
A,45.38074670243938
A,23.15000756806236
A,16.691200257776412
A,32.308640116219415
A,76.75120498545903
A,56.77511717689579
A,19.292967303228128
A,54.98534848198579
A,64.26545188650057
A,22.791671879003374
A,54.13423582669356
A,49.964642539935326
A,20.286543130626075
A,63.06112598253701
A,71.94142287189231
A,78.50982021787051
A,78.2828733071455
A,18.0174493307515
A,22.2699077539239
A,69.94007964247427
A,69.88542715722674
A,69.94062292726028
A,99.99999999224092
A,72.38351840910661
A,78.91728379905973
A,77.5085145542725
A,75.16053438059004
A,36.89981478031299
A,75.99524080553
A,23.865142368798352
A,39.64413753320173
A,30.949657090445932
A,50.99104950866303
A,88.06596404259359
A,13.283988522728912
A,75.43108538365627
A,15.744996513278423
A,31.419517777593704
A,78.5555937954017
A,50.22137860757021
A,20.91714990176463
A,24.421265965344908
A,75.37939094549553
A,24.27563614270805
A,56.878569506408134
A,49.52258528919799
A,25.1344407428847
A,86.74137619111187
A,75.02496590031214
A,11.757614277521387
A,55.566005033172885
A,24.938675972963516
A,76.72043665463596
A,23.674724097726223
A,43.914757541499725
A,69.50052119761196
A,76.82380207132421
A,19.732308642421096
A,36.22705044789009
A,31.314102870602596
A,25.073961714523588
A,83.80464192146577
A,65.12568606067951
A,19.146542248856278
A,77.2281027078215
A,86.5723221195704
A,78.11731936451567
A,16.64747394831782
A,30.98916784424389
A,79.93640454545795
A,24.495074587184
A,66.82467755830537
A,76.11678554927362
A,22.375237517065127
A,45.84612536646736
A,0.0
A,21.433011970419493
A,39.09319448294649
A,19.273201810578275
A,82.77235069490197
A,17.510144753439647
A,32.53498684598509
A,53.12875657612298
A,81.28929491439648
A,17.45483575270825
A,79.13141984898895
A,48.28638100142035
A,21.847570285248715
A,67.6245298963525
A,56.11743895778381
A,26.93191276917072
A,50.462946436066005
A,34.44955669883274
A,52.375310521370515
A,75.24386245998794
A,82.41237199917549
A,19.369570356032522
A,86.65671904705407
A,12.46391517786198
A,42.6187392340183
A,73.14586517217907
A,59.70163684512249
A,26.145435699599588
A,40.64797976895494
A,30.68248967141147
A,27.31153645635856
A,76.69846884487583
A,63.027359630923264
A,24.63777447218367
A,77.08640577274889
A,60.8524892187779
A,76.41340029345818
A,74.95308048890618
A,23.32208722738851
A,28.332427299656253
A,75.90464873321186
A,74.11059642741905
A,47.19724336835544
A,52.541984124623276
A,80.01984376120535
A,27.234345113247866
A,71.34266617340838
A,40.85540613197942
A,40.31359304429749
A,78.63183652669785
A,76.51080961104199
A,76.41842443305846
A,80.23565421659119
A,48.663159305513325
A,75.39766531199588
A,37.074809428356176
A,61.590344210709745
A,43.375810766047266
A,51.6525676151801
A,73.44507931470669
A,23.42625449206001
A,86.34134257902878
A,21.610617457609056
A,19.597997424758507
A,79.0922141425647
A,76.24891218978138
A,74.71208315190606
A,74.89693992671944
A,47.50000218778505
A,22.662148984961014
A,50.72553012215591
A,24.790026568264445
A,77.67237064219502
A,42.78412185124385
A,23.355904440001343
A,36.685846904444524
